x y
32 11
32 7
32 6
32 7
32 8
32 7
32 7
32 8
32 9
32 7
32 6
32 7
32 8
32 7
32 6
32 9
33 11
33 8
33 6
33 7
33 6
33 7
33 8
33 7
33 7
33 7
33 8
33 6
33 7
33 8
33 6
33 6
33 7
33 7
33 7
33 9
34 11
34 7
34 7
34 7
34 6
34 7
34 6
34 6
34 6
34 6
34 7
34 7
34 7
34 7
34 6
34 9
35 11
35 8
35 8
35 7
35 9
35 7
35 7
35 7
35 7
35 7
35 7
35 7
35 8
35 6
35 7
35 7
35 7
35 7
35 7
35 7
35 7
35 7
35 7
35 9
36 11
36 6
36 7
36 7
36 9
36 8
36 10
36 7
36 9
36 7
36 7
36 9
37 11
37 8
37 7
37 7
37 7
37 7
37 6
37 6
37 7
37 7
37 7
37 7
37 7
37 7
37 7
37 6
37 7
37 7
37 8
37 7
37 7
37 7
37 7
37 6
37 7
37 7
37 7
37 6
37 7
37 7
37 7
37 7
37 6
37 7
37 7
37 9
38 11
38 7
38 7
38 7
38 7
38 7
38 7
38 7
38 6
38 7
38 7
38 6
38 7
38 7
38 6
38 6
38 7
38 10
39 11
39 9
39 7
39 7
39 7
39 7
39 7
39 7
39 9
39 7
39 7
39 8
39 9
39 7
39 7
39 9
39 7
39 6
39 7
39 7
39 7
39 6
39 8
39 10
40 11
40 7
40 7
40 9
40 8
40 7
40 7
40 8
40 10
40 7
40 8
40 8
40 9
40 7
40 7
40 10
41 12
41 8
41 7
41 7
41 7
41 8
41 8
41 7
41 7
41 7
41 7
41 8
41 6
41 7
41 6
41 6
41 8
41 7
41 6
41 8
41 8
41 8
41 7
41 8
41 7
41 7
41 7
41 7
41 8
41 7
41 7
41 7
41 7
41 7
41 8
41 7
41 7
41 7
41 8
41 10
42 12
42 6
42 7
42 8
42 6
42 7
42 7
42 7
42 9
42 7
42 7
42 10
43 12
43 9
43 7
43 7
43 7
43 7
43 7
43 6
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 6
43 7
43 7
43 7
43 7
43 9
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 7
43 10
44 12
44 8
44 7
44 7
44 7
44 7
44 8
44 7
44 8
44 9
44 10
44 7
44 7
44 7
44 7
44 7
44 7
44 7
44 7
44 10
45 12
45 9
45 7
45 8
45 7
45 7
45 7
45 7
45 9
45 8
45 9
45 7
45 9
45 8
45 8
45 8
45 9
45 7
45 7
45 7
45 7
45 7
45 8
45 11
46 12
46 7
46 7
46 7
46 7
46 7
46 7
46 7
46 7
46 7
46 7
46 8
46 7
46 8
46 7
46 7
46 8
46 7
46 8
46 7
46 7
46 10
47 13
47 10
47 8
47 8
47 7
47 8
47 8
47 8
47 8
47 7
47 7
47 8
47 7
47 7
47 7
47 7
47 8
47 7
47 7
47 7
47 7
47 7
47 8
47 9
47 7
47 7
47 8
47 7
47 8
47 8
47 7
47 7
47 7
47 7
47 7
47 8
47 7
47 7
47 7
47 8
47 7
47 7
47 7
47 6
47 8
47 10
48 13
48 8
48 9
48 8
48 9
48 9
48 8
48 9
48 11
48 8
48 9
48 9
48 9
48 9
48 8
48 11
49 13
49 9
49 7
49 7
49 8
49 7
49 7
49 7
49 8
49 7
49 7
49 7
49 7
49 7
49 8
49 8
49 8
49 7
49 7
49 7
49 8
49 8
49 7
49 7
49 7
49 7
49 7
49 7
49 8
49 7
49 7
49 7
49 7
49 7
49 7
49 7
49 7
49 7
49 7
49 7
49 8
49 10
50 13
50 8
50 8
50 7
50 8
50 7
50 8
50 7
50 8
50 7
50 7
50 8
50 8
50 7
50 7
50 8
50 8
50 8
50 7
50 10
51 13
51 9
51 8
51 7
51 7
51 7
51 7
51 7
51 8
51 7
51 8
51 7
51 8
51 7
51 7
51 8
51 9
51 7
51 8
51 7
51 7
51 10
51 7
51 7
51 7
51 7
51 7
51 7
51 7
51 7
51 8
51 11
52 13
52 8
52 7
52 7
52 9
52 7
52 7
52 7
52 8
52 7
52 7
52 10
52 11
52 9
52 7
52 8
52 8
52 7
52 8
52 7
52 7
52 7
52 7
52 11
53 13
53 9
53 9
53 7
53 7
53 8
53 7
53 7
53 7
53 7
53 7
53 7
53 7
53 8
53 7
53 7
53 7
53 8
53 7
53 7
53 7
53 7
53 7
53 8
53 7
53 8
53 9
53 7
53 7
53 8
53 7
53 7
53 7
53 7
53 8
53 7
53 7
53 7
53 7
53 7
53 7
53 8
53 8
53 7
53 8
53 7
53 7
53 7
53 7
53 7
53 8
53 11
54 13
54 7
54 8
54 7
54 8
54 9
54 9
54 8
54 8
54 8
54 8
54 9
54 9
54 8
54 8
54 8
54 8
54 11
55 13
55 9
55 8
55 8
55 7
55 8
55 8
55 7
55 9
55 7
55 8
55 8
55 8
55 8
55 8
55 9
55 9
55 7
55 8
55 9
55 10
55 7
55 7
55 8
55 9
55 7
55 7
55 7
55 7
55 7
55 8
55 8
55 7
55 7
55 7
55 8
55 7
55 8
55 8
55 11
56 13
56 8
56 7
56 8
56 7
56 9
56 10
56 8
56 8
56 7
56 8
56 9
56 11
56 7
56 8
56 7
56 7
56 9
56 10
56 7
56 7
56 7
56 7
56 11
57 13
57 9
57 7
57 7
57 9
57 8
57 8
57 7
57 7
57 7
57 8
57 7
57 10
57 7
57 7
57 7
57 7
57 8
57 9
57 7
57 8
57 7
57 7
57 9
57 7
57 8
57 7
57 7
57 7
57 7
57 9
57 7
57 7
57 7
57 8
57 11
58 13
58 8
58 8
58 8
58 7
58 7
58 7
58 8
58 8
58 7
58 7
58 7
58 7
58 7
58 8
58 7
58 8
58 7
58 8
58 8
58 8
58 8
58 8
58 8
58 7
58 7
58 8
58 11
59 14
59 10
59 8
59 9
59 8
59 7
59 7
59 7
59 8
59 7
59 8
59 7
59 8
59 7
59 9
59 8
59 7
59 7
59 7
59 8
59 7
59 7
59 7
59 8
59 8
59 8
59 7
59 7
59 8
59 9
59 7
59 7
59 8
59 9
59 7
59 7
59 8
59 8
59 8
59 8
59 7
59 8
59 7
59 7
59 7
59 8
59 7
59 7
59 7
59 7
59 7
59 7
59 7
59 7
59 7
59 7
59 8
59 11
60 14
60 8
60 9
60 9
60 8
60 10
60 8
60 10
60 12
60 9
60 10
60 8
60 8
60 9
60 8
60 11
61 14
61 9
61 8
61 8
61 8
61 8
61 8
61 8
61 7
61 7
61 7
61 7
61 8
61 7
61 7
61 8
61 8
61 9
61 7
61 8
61 8
61 7
61 9
61 8
61 7
61 7
61 7
61 8
61 7
61 8
61 10
61 7
61 7
61 8
61 8
61 7
61 8
61 8
61 7
61 8
61 8
61 7
61 8
61 8
61 8
61 8
61 8
61 8
61 8
61 7
61 8
61 8
61 8
61 7
61 8
61 8
61 7
61 8
61 8
61 11
62 14
62 8
62 8
62 8
62 8
62 8
62 8
62 8
62 7
62 8
62 8
62 7
62 8
62 7
62 8
62 8
62 8
62 7
62 9
62 7
62 7
62 8
62 9
62 8
62 7
62 8
62 7
62 7
62 8
62 11
63 14
63 10
63 9
63 8
63 10
